CO_UNIDADE;CO_CNES;NU_CNPJ_MANTENEDORA;TP_PFPJ;NO_FANTASIA;NU_ENDERECO;CO_CEP;NU_TELEFONE;NO_EMAIL;CO_ATIVIDADE;TP_UNIDADE;CO_ESTADO_GESTOR;CO_MUNICIPIO_GESTOR;CO_TIPO_UNIDADE;CO_TIPO_ESTABELECIMENTO;CO_CONVENIO;QTProfissionais;NU_CNPJ_ADM;TO_CHAR(DT_VIGENCIA_INICIAL,'DD/MM/YYYY');TO_CHAR(DT_VIGENCIA_FINAL,'DD/MM/YYYY');CO_CPF;NO_REPRESENTANTE;DS_CARGO;DS_E_MAIL;DT_DADOS
2203907660030;7660030;;3;MAXILLA;1033;64800290;8935211056;heladiocastro@gmail.com;4;39;22;220390;;18.0;2;;;;;;;;;202201
2202307949197;7949197;;3;LABORATORIO DE ANALISE CLINICAS EXAMINAR;389;64890000;8935311699;emanuelwesley1@hotmail.com;4;39;22;220230;;18.0;2;;;;;;;;;202201
2210379988556;9988556;1850545000150.0;3;LABORATORIO DE PROTESE DENTARIA DE SAO LUIS DO PIAUI;S/N;64638000;;;4;39;22;221037;;16.0;1;;;;;;;;;202201
2210379988556;9988556;1850545000150.0;3;LABORATORIO DE PROTESE DENTARIA DE SAO LUIS DO PIAUI;S/N;64638000;;;4;39;22;221037;;16.0;1;;;;;;;;;202201
2207957687990;7687990;1742695000140.0;3;LRPD NOVA SANTA RITA PI;30;64764000;;;4;39;22;220795;;20.0;1;;;;;;;;;202201
2200057753322;7753322;3961246000118.0;3;LABORATORIO DE PROTESE DENTARIA DE ACAUA;S/N;64748000;(89)34930032;smsacauan@hotmail.com;4;39;22;220005;;20.0;1;;;;;;;;;202201
2210807768060;7768060;;3;JV SERVICOS ODONTOLOGICOS LTDA;569;64700000;89999241161;;4;39;22;221080;;20.0;2;;;;;;;;;202201
2210807768060;7768060;;3;JV SERVICOS ODONTOLOGICOS LTDA;569;64700000;89999241161;;4;39;22;221080;;20.0;2;;;;;;;;;202201
2205907849400;7849400;6554125000220.0;3;LRPD DE MANOEL EMIDIO;641;64875000;(89) 35351281;saudemepi@hotmail.com;4;39;22;220590;;20.0;1;;;;;;;;;202201
2203207963823;7963823;1958265000160.0;3;LABORATORIO DE PROTESES DENTARIAS DE CURIMATA;S/N;64960000;8935741485;;4;39;22;220320;;20.0;1;;;;;;;;;202201
2209957962339;7962339;2321216000184.0;3;LRPD DE SAO JOAO DA VARJOTA;S/N;64510000;;;4;39;22;220995;;20.0;1;;;;;;;;;202201
2208003805794;3805794;;3;CDLAB CENTRO DE DIAGNOSTICO LABORATORIAL LTDA;558;64600138;8934222045;;4;39;22;220800;;16.0;1;;;;;;;;;202201
2208003805794;3805794;;3;CDLAB CENTRO DE DIAGNOSTICO LABORATORIAL LTDA;558;64600138;8934222045;;4;39;22;220800;;16.0;2;;;;;;;;;202201
2208003805794;3805794;;3;CDLAB CENTRO DE DIAGNOSTICO LABORATORIAL LTDA;558;64600138;8934222045;;4;39;22;220800;;16.0;2;;;;;;;;;202201
2211006489664;6489664;;3;ESTIMULOS FISIOTERAPIA E SAUDE;2212;64049375;(86)32337950;;4;39;22;221100;;;2;;;;;;;;;202201
2211006489664;6489664;;3;ESTIMULOS FISIOTERAPIA E SAUDE;2212;64049375;(86)32337950;;4;39;22;221100;;;6;;;;;;;;;202201
2211009874097;9874097;;3;BIOANALISE LTDA;2764;64078225;8632158585;;4;39;22;221100;;18.0;2;;;;;;;;;202201
2202000111155;111155;6554455000640.0;3;LABORATORIO DE PROTESE ODONTOLOGICA DE BURITI DOS LOPES;S/N;64230000;;;4;39;22;220200;;20.0;1;;;;;;;;;202201
2200209970991;9970991;;3;LABORATORIO DE ANALISES CLINICA AGUA BRANCA;717;64460000;(86)999012732;;4;80;22;220020;;18.0;1;;;;;;;;;202201
