CO_UNIDADE,CO_MUNICIPIO_GESTOR,Municipio,Mesoregiao,RegionaldeSaude,NU_CNPJ_MANTENEDORA,NO_FANTASIA,CO_CEP,NU_TELEFONE,NO_EMAIL,CO_ATIVIDADE,CO_TIPO_ESTABELECIMENTO,CO_CONVENIO_SUS,CO_CONVENIO_PARTICULAR,CO_CONVENIO_PLPUB,CO_CONVENIO_PSPRIV
2200057753322.0,220005,Acauã,Sudeste Piauiense,Vale Do Rio Guaribas,3961246000118.0,LABORATORIO DE PROTESE DENTARIA DE ACAUA,64748000.0,(89)34930032,smsacauan@hotmail.com,1,1,1,0,0,0
2200107269722.0,220010,Agricolândia,Centro Norte Piauiense,Entre Rios,2875123000100.0,LRPD DE AGRICOLANDIA,64440000.0,,,1,1,1,0,0,0
2200200972754.0,220020,Água Branca,Centro Norte Piauiense,Entre Rios,,CITOPREV,64460000.0,,CITOPREVAB@GMAIL.COM,1,1,1,1,0,0
2200209970991.0,220020,Água Branca,Centro Norte Piauiense,Entre Rios,,LABORATORIO DE ANALISES CLINICA AGUA BRANCA,64460000.0,(86)999012732,,1,1,1,1,0,0
2200250381772.0,220025,Alagoinha do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,,BIOLAB,64655000.0,89 34421128,mama.biomedica@hotmail.com,1,1,1,1,0,0
2200277325681.0,220027,Alegrete do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,2660575000166.0,LRPD ALEGRETE DO PIAUI PI,64675000.0,,,1,1,1,0,0,0
2200400938289.0,220040,Altos,Centro Norte Piauiense,Entre Rios,,BIOANALISE LTDA,64290000.0,86 32158585,,1,1,0,1,0,0
2200400997692.0,220040,Altos,Centro Norte Piauiense,Entre Rios,,NOVO VISUAL,64290000.0,86 94184608,carolfrcoelho@hotmail.com,1,1,0,1,0,0
2200402975653.0,220040,Altos,Centro Norte Piauiense,Entre Rios,,ILAB LABORATORIO BIOMEDICO,64290000.0,,,1,1,1,1,0,0
2200403078043.0,220040,Altos,Centro Norte Piauiense,Entre Rios,,BIO,64290000.0,86 94478062,biomaisaltos@gmail.com,1,1,0,1,0,0
2200403406490.0,220040,Altos,Centro Norte Piauiense,Entre Rios,,LAF LABORATORIO DE ANALISES FERREIRINHA,64290000.0,86 88111067,,1,1,0,1,0,0
2200403791203.0,220040,Altos,Centro Norte Piauiense,Entre Rios,,LABORATORIO EXAME TERESINA,64290000.0,86 32323957,liarthdgh@gmail.com,1,1,0,1,0,1
2200409084800.0,220040,Altos,Centro Norte Piauiense,Entre Rios,2807243000161.0,LRPD DE ALTOS,64290000.0,0862621137,smsaltos@hotmail.com,1,1,1,0,0,0
2200457425228.0,220045,Alvorada do Gurguéia,Sudoeste Piauiense,Chapada Das Mangabeiras,1612562000159.0,LABORATORIO DE PROTESE DENTARIA DE ALVORADA DO GURGUEIA,64923000.0,,,1,1,1,0,0,0
2200503651894.0,220050,Amarante,Centro Norte Piauiense,Entre Rios,,GIOMED,64400000.0,,,1,1,0,1,0,0
2200503809579.0,220050,Amarante,Centro Norte Piauiense,Entre Rios,,LABORATORIO DE DIAGNOSTICO CLINICO DO MEDIO PARNAIBA,64400000.0,(86)32921199,,1,1,0,1,1,1
2200507297092.0,220050,Amarante,Centro Norte Piauiense,Entre Rios,6268076000189.0,LABORATOIO DE PROTESE DE AMARANTE PI,64400000.0,86 32921199,,1,1,1,0,0,0
2200507424108.0,220050,Amarante,Centro Norte Piauiense,Entre Rios,,LABMED COMPROMISSO COM A SUA SAUDE,64400000.0,86-32921774,labmedbr@gmail.com,1,1,1,1,1,0
2200509783784.0,220050,Amarante,Centro Norte Piauiense,Entre Rios,,PRODENTEC,64400000.0,86 995411221,,1,1,0,1,0,0
2200604008138.0,220060,Angical do Piauí,Centro Norte Piauiense,Entre Rios,,LABORATORIO BIOEXAMES,64410000.0,(86) 9436 5369,,1,1,1,0,0,0
2200606985750.0,220060,Angical do Piauí,Centro Norte Piauiense,Entre Rios,,B B LABORATORIO DE PROTESE DENTARIA,64410000.0,,labprotesedental@hotmail.com,1,0,0,1,0,0
2200607269838.0,220060,Angical do Piauí,Centro Norte Piauiense,Entre Rios,6554752000180.0,LRPD DE ANGICAL DO PIAUI,64410000.0,,,1,1,1,0,0,0
2200707703244.0,220070,Anísio de Abreu,Sudoeste Piauiense,Serra Da Capivara,1676082000151.0,LABORATORIO DE PROTESES DENTARIA DE ANISIO DE ABREU PI,64780000.0,,,1,1,1,0,0,0
2200809980792.0,220080,Antônio Almeida,Sudoeste Piauiense,Tabuleiros Do Alto Parnaìba,2963537000182.0,LRPD DE ANTONIO ALMEIDA,64855000.0,,antalmeidasaude@hotmail.com,1,1,1,0,0,0
2200907460619.0,220090,Aroazes,Centro Norte Piauiense,Vale Do Sambito,6554984000139.0,LABORATORIO DE PROTESE DE AROAZES,64310000.0,,,1,1,1,0,0,0
2200957397569.0,220095,Aroeiras do Itaim,Sudeste Piauiense,Vale Do Rio Guaribas,7218763000152.0,LRPD DE AROEIRAS DO ITAIM,64612000.0,89 3421-8022,,1,1,1,0,0,0
2200959334807.0,220095,Aroeiras do Itaim,Sudeste Piauiense,Vale Do Rio Guaribas,,DISTRIBUIDORA LABORATORIO ALVES,64612000.0,89 94632452,,1,1,0,1,0,0
2201009873961.0,220100,Arraial,Centro Norte Piauiense,Vale Dos Rios Piauì E Itaueiras,2545932000145.0,LRPD DE ARRAIAL,64480000.0,,,1,1,1,0,0,0
2201057300417.0,220105,Assunção do Piauí,Centro Norte Piauiense,Carnaubais,1898631000132.0,LABORATORIO DE PROTESE DE ASSUNCAO DO PIAUI,64333000.0,86 3254-0057,saude-assuncao@hotmail.com,1,1,1,0,0,0
2201103318508.0,220110,Avelino Lopes,Sudoeste Piauiense,Chapada Das Mangabeiras,,BIOLAB,64965000.0,89 81243581,,1,1,0,1,0,0
2201107510667.0,220110,Avelino Lopes,Sudoeste Piauiense,Chapada Das Mangabeiras,2377019000187.0,LABORATORIO DE PROTESE DENTARIO AVELINO LOPES,64965000.0,,,1,1,1,0,0,0
2201177565143.0,220117,Barra D'Alcântara,Centro Norte Piauiense,Vale Do Sambito,1612565000273.0,LRPD DE BARRA DALCANTARA,64528000.0,,,1,1,1,0,0,0
2201200614750.0,220120,Barras,Norte Piauiense,Cocais,,CARDIOGRAFOS,64100000.0,86 32236176,marceloservicoscontabeis@hotmail.com,1,1,1,0,0,0
2201200707716.0,220120,Barras,Norte Piauiense,Cocais,,CLINVIDAS,64100000.0,86 32230738,admclinvidas@hotmail.com,1,1,1,1,0,1
